NegotiationID;Day;Month;Year;Hours;Minutes;SenderID;SenderBestCase;SenderWorstCase;ReceiverID ;ReceiverBestCase 1;ReceiverWorstCase 1;JointUtility (Best);JointUtility (Worst);ContractImbalance (Best);ContractImbalance (Worst);Value 1= - ;Value 1=h;Value 1=g;Value 1=i;Value 1=j;Utility_Issue1;Value 2= - ;Value 2=z;Value 2=y;Value 2=x;Utility_Issue2;Value 3= - ;Value 3=n;Value 3=m;Value 3=l;Value 3=k;Utility_Issue3;Value 4= - ;Value 4=r;Value 4=s;Value 4=q;Value 4=p;Value 4=t;Utility_Issue4;Value 5= - ;Value 5=b;Value 5=a;Value 5=c;Utility_Issue5;MessageType
59;4;12;2017;14;59;61;1;0.18;62;0.82;0;1.82;0.18;0.18;0.18;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
59;4;12;2017;18;7;62;1;0.18;61;0.82;0;1.82;0.18;0.18;0.18;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
59;4;12;2017;19;29;61;1;0.18;62;0.82;0;1.82;0.18;0.18;0.18;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0.18;0
59;4;12;2017;20;47;62;1;0.18;61;0.82;0;1.82;0.18;0.18;0.18;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0.18;1
59;4;12;2017;21;32;61;0.856;0.036;62;0.8686;0.0486;1.7246;0.0846;0.0126;0.0126;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.036;1
59;4;12;2017;21;42;62;0.8686;0.0486;61;0.856;0.036;1.7246;0.0846;0.0126;0.0126;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.0486;1
59;5;12;2017;7;42;61;0.7462;0.1062;62;0.7086;0.0486;1.4548;0.1548;0.0376;0.0576;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.0702;1;0;0;0;0;0;0;0;0;0;1;0.036;1
59;5;12;2017;10;7;62;0.8976;0.0576;61;0.82;0;1.7176;0.0576;0.0776;0.0576;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.0576;1;0;0;0;0;0;0;1;0;0;0;0;1
59;5;12;2017;12;18;61;0.8976;0.0576;62;0.82;0;1.7176;0.0576;0.0776;0.0576;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
59;5;12;2017;12;49;62;0.8976;0.0576;61;0.82;0;1.7176;0.0576;0.0776;0.0576;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
59;5;12;2017;14;29;61;0.928;0.128;62;0.826;0.026;1.754;0.154;0.102;0.102;1;0;0;0;0;0;0;1;0;0;0.128;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
59;5;12;2017;14;46;62;0.826;0.326;61;0.7068;0.1868;1.5328;0.5128;0.1192;0.1392;0;1;0;0;0;0.3;0;1;0;0;0.026;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1
59;5;12;2017;15;19;61;0.826;0.326;62;0.7068;0.1868;1.5328;0.5128;0.1192;0.1392;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
59;5;12;2017;15;55;62;0.826;0.326;61;0.7068;0.1868;1.5328;0.5128;0.1192;0.1392;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
59;5;12;2017;18;52;61;0.826;0.326;62;0.7068;0.1868;1.5328;0.5128;0.1192;0.1392;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
59;5;12;2017;19;15;62;0.826;0.326;61;0.7068;0.1868;1.5328;0.5128;0.1192;0.1392;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
59;5;12;2017;19;58;61;0.421;0.421;62;0.4194;0.4194;0.8404;0.8404;0.0016;0.0016;0;1;0;0;0;0.0588;0;1;0;0;0.128;0;1;0;0;0;0.0702;0;1;0;0;0;0;0.128;0;0;0;1;0.036;1
59;5;12;2017;20;7;62;0.4194;0.4194;61;0.421;0.421;0.8404;0.8404;0.0016;0.0016;0;1;0;0;0;0.3;0;1;0;0;0.026;0;1;0;0;0;0;0;1;0;0;0;0;0.0448;0;0;0;1;0.0486;4
85;4;12;2017;12;48;87;1;0;88;1;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
85;5;12;2017;0;1;88;1;1;87;0.1254;0.1254;1.1254;1.1254;0.8746;0.8746;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
85;6;12;2017;10;7;87;1;1;88;0.1084;0.1084;1.1084;1.1084;0.8916;0.8916;0;0;1;0;0;0.28;0;0;0;1;0.2;0;0;0;0;1;0.18;0;0;0;1;0;0;0.16;0;1;0;0;0.18;1
85;6;12;2017;12;31;88;0.92;0.92;87;0.2006;0.2006;1.1206;1.1206;0.7194;0.7194;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;1;0;0.16;0;0;0;0;1;0;0.08;0;0;1;0;0.18;1
85;6;12;2017;16;40;87;0.8198;0.8198;88;0.134;0.134;0.9538;0.9538;0.6858;0.6858;0;0;1;0;0;0.28;0;0;0;1;0.2;0;1;0;0;0;0.0702;0;0;0;0;1;0;0.0896;0;1;0;0;0.18;1
85;6;12;2017;17;52;88;0.8176;0.8176;87;0.1484;0.1484;0.966;0.966;0.6692;0.6692;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;1;0;0;0.0576;0;0;0;0;1;0;0.08;0;0;1;0;0.18;1
85;6;12;2017;18;58;87;0.7084;0.7084;88;0.4104;0.4104;1.1188;1.1188;0.298;0.298;0;1;0;0;0;0.0588;0;0;0;1;0.2;0;0;0;0;1;0.18;0;0;0;0;1;0;0.0896;0;1;0;0;0.18;1
85;7;12;2017;9;54;88;0.6946;0.6946;87;0.2894;0.2894;0.984;0.984;0.4052;0.4052;0;1;0;0;0;0.3;0;1;0;0;0.026;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;0;1;0.0486;1
85;7;12;2017;16;23;87;0.5644;0.5644;88;0.459;0.459;1.0234;1.0234;0.1054;0.1054;0;1;0;0;0;0.0588;0;0;0;1;0.2;0;0;0;0;1;0.18;0;0;0;0;1;0;0.0896;0;0;0;1;0.036;1
85;8;12;2017;9;56;88;0.5886;0.5886;87;0.4366;0.4366;1.0252;1.0252;0.152;0.152;0;1;0;0;0;0.3;0;0;0;1;0;0;0;0;1;0;0.16;0;0;0;0;1;0;0.08;0;0;0;1;0.0486;1
85;8;12;2017;10;29;87;0.5806;0.5806;88;0.54;0.54;1.1206;1.1206;0.0406;0.0406;0;1;0;0;0;0.0588;0;0;0;1;0.2;0;0;0;1;0;0.0522;0;0;0;0;1;0;0.0896;0;1;0;0;0.18;1
85;8;12;2017;13;0;88;0.54;0.54;87;0.5806;0.5806;1.1206;1.1206;0.0406;0.0406;0;1;0;0;0;0.3;0;0;0;1;0;0;0;0;1;0;0.16;0;0;0;0;1;0;0.08;0;1;0;0;0;4
111;4;12;2017;20;38;113;1;1;114;0.1084;0.1084;1.1084;1.1084;0.8916;0.8916;0;0;1;0;0;0.28;0;0;0;1;0.2;0;0;0;0;1;0.18;0;0;0;1;0;0;0.16;0;1;0;0;0.18;0
111;5;12;2017;16;40;114;0.8976;0.8976;113;0.0732;0.0732;0.9708;0.9708;0.8244;0.8244;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;1;0;0;0.0576;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
111;7;12;2017;9;17;113;0.928;0.928;114;0.1344;0.1344;1.0624;1.0624;0.7936;0.7936;0;0;1;0;0;0.28;0;1;0;0;0.128;0;0;0;0;1;0.18;0;0;0;1;0;0;0.16;0;1;0;0;0.18;1
111;8;12;2017;12;18;114;0.674;0.674;113;0.4218;0.4218;1.0958;1.0958;0.2522;0.2522;0;0;1;0;0;0.054;0;0;1;0;0.2;0;0;0;1;0;0.16;0;0;0;0;1;0;0.08;0;0;1;0;0.18;1
111;8;12;2017;13;56;113;0.5498;0.5498;114;0.5;0.5;1.0498;1.0498;0.0498;0.0498;0;0;1;0;0;0.28;0;1;0;0;0.128;0;0;0;1;0;0.0522;0;0;0;0;1;0;0.0896;0;0;1;0;0;1
111;8;12;2017;14;5;114;0.5498;0.5498;113;0.5;0.5;1.0498;1.0498;0.0498;0.0498;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
111;8;12;2017;14;13;113;0.6338;0.6338;114;0.36;0.36;0.9938;0.9938;0.2738;0.2738;0;0;0;1;0;0.112;0;0;0;1;0.2;0;0;0;1;0;0.0522;0;0;0;0;1;0;0.0896;0;1;0;0;0.18;1
111;8;12;2017;14;26;114;0.6338;0.6338;113;0.36;0.36;0.9938;0.9938;0.2738;0.2738;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
111;8;12;2017;14;33;113;0.6338;0.6338;114;0.36;0.36;0.9938;0.9938;0.2738;0.2738;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
111;8;12;2017;14;59;114;0.5904;0.5904;113;0.5284;0.5284;1.1188;1.1188;0.062;0.062;0;1;0;0;0;0.3;0;0;0;1;0;0;0;0;0;1;0.0304;0;0;0;0;1;0;0.08;0;0;1;0;0.18;1
